"","model","scenario","category","category2"
"1","COFFEE 1.1","EN_NPi2020_400","C1","Paris-compliant"
"2","COFFEE 1.1","EN_INDCi2030_400f","C2","Paris-compliant"
"3","COFFEE 1.1","EN_INDCi2030_500f","C2","Paris-compliant"
"4","COFFEE 1.1","EN_NPi2020_400f","C2","Paris-compliant"
"5","COFFEE 1.1","EN_NPi2020_500f","C2","Paris-compliant"
"6","GCAM 5.3","NGFS2_Divergent Net Zero Policies","C2","Paris-compliant"
"7","GCAM 5.3","NGFS2_Net-Zero 2050","C2","Paris-compliant"
"8","POLES ENGAGE","EN_INDCi2030_300f","C2","Paris-compliant"
"9","POLES ENGAGE","EN_INDCi2030_400f","C2","Paris-compliant"
"10","POLES ENGAGE","EN_NPi2020_300f","C2","Paris-compliant"
"11","POLES ENGAGE","EN_NPi2020_400f","C2","Paris-compliant"
"12","POLES GECO2019","CO_Bridge","C2","Paris-compliant"
"13","COFFEE 1.1","CO_Bridge","C3","Paris-compliant"
"14","COFFEE 1.1","EN_INDCi2030_500","C3","Paris-compliant"
"15","COFFEE 1.1","EN_INDCi2030_600","C3","Paris-compliant"
"16","COFFEE 1.1","EN_INDCi2030_600_NDCp","C3","Paris-compliant"
"17","COFFEE 1.1","EN_INDCi2030_700","C3","Paris-compliant"
"18","COFFEE 1.1","EN_INDCi2030_800","C3","Paris-compliant"
"19","COFFEE 1.1","EN_INDCi2030_900","C3","Paris-compliant"
"20","COFFEE 1.1","EN_NPi2020_400_lowBECCS","C3","Paris-compliant"
"21","COFFEE 1.1","EN_NPi2020_400f_lowBECCS","C3","Paris-compliant"
"22","COFFEE 1.1","EN_NPi2020_500","C3","Paris-compliant"
"23","COFFEE 1.1","EN_NPi2020_600","C3","Paris-compliant"
"24","COFFEE 1.1","EN_NPi2020_700","C3","Paris-compliant"
"25","COFFEE 1.1","EN_NPi2020_800","C3","Paris-compliant"
"26","COFFEE 1.1","EN_NPi2020_900","C3","Paris-compliant"
"27","GCAM 5.3","NGFS2_Below 2°C","C3","Paris-compliant"
"28","POLES ENGAGE","EN_INDCi2030_500f","C3","Paris-compliant"
"29","POLES ENGAGE","EN_INDCi2030_600f","C3","Paris-compliant"
"30","POLES ENGAGE","EN_INDCi2030_600f_COV","C3","Paris-compliant"
"31","POLES ENGAGE","EN_INDCi2030_600f_COV_NDCp","C3","Paris-compliant"
"32","POLES ENGAGE","EN_INDCi2030_600f_NDCp","C3","Paris-compliant"
"33","POLES ENGAGE","EN_INDCi2030_700f","C3","Paris-compliant"
"34","POLES ENGAGE","EN_INDCi2030_900","C3","Paris-compliant"
"35","POLES ENGAGE","EN_NPi2020_500","C3","Paris-compliant"
"36","POLES ENGAGE","EN_NPi2020_500f","C3","Paris-compliant"
"37","POLES ENGAGE","EN_NPi2020_600","C3","Paris-compliant"
"38","POLES ENGAGE","EN_NPi2020_600f","C3","Paris-compliant"
"39","POLES ENGAGE","EN_NPi2020_600f_COV","C3","Paris-compliant"
"40","POLES ENGAGE","EN_NPi2020_700","C3","Paris-compliant"
"41","POLES ENGAGE","EN_NPi2020_700f","C3","Paris-compliant"
"42","POLES ENGAGE","EN_NPi2020_800","C3","Paris-compliant"
"43","POLES ENGAGE","EN_NPi2020_900","C3","Paris-compliant"
"44","POLES GECO2019","CO_2Deg2020","C3","Paris-compliant"
"45","POLES GECO2019","CO_2Deg2030","C3","Paris-compliant"
"46","TIAM-ECN 1.1","EN_INDCi2030_1000","C3","Paris-compliant"
"47","TIAM-ECN 1.1","EN_INDCi2030_1000_COV","C3","Paris-compliant"
"48","TIAM-ECN 1.1","EN_INDCi2030_1000_NDCp","C3","Paris-compliant"
"49","TIAM-ECN 1.1","EN_INDCi2030_1000f","C3","Paris-compliant"
"50","TIAM-ECN 1.1","EN_INDCi2030_1000f_COV","C3","Paris-compliant"
"51","TIAM-ECN 1.1","EN_INDCi2030_1000f_NDCp","C3","Paris-compliant"
"52","TIAM-ECN 1.1","EN_INDCi2030_1200","C3","Paris-compliant"
"53","TIAM-ECN 1.1","EN_INDCi2030_1200f","C3","Paris-compliant"
"54","TIAM-ECN 1.1","EN_INDCi2030_900","C3","Paris-compliant"
"55","TIAM-ECN 1.1","EN_INDCi2030_900f","C3","Paris-compliant"
"56","TIAM-ECN 1.1","EN_NPi2020_1000","C3","Paris-compliant"
"57","TIAM-ECN 1.1","EN_NPi2020_1000_COV","C3","Paris-compliant"
"58","TIAM-ECN 1.1","EN_NPi2020_1000f","C3","Paris-compliant"
"59","TIAM-ECN 1.1","EN_NPi2020_1000f_COV","C3","Paris-compliant"
"60","TIAM-ECN 1.1","EN_NPi2020_1200","C3","Paris-compliant"
"61","TIAM-ECN 1.1","EN_NPi2020_1200f","C3","Paris-compliant"
"62","TIAM-ECN 1.1","EN_NPi2020_800","C3","Paris-compliant"
"63","TIAM-ECN 1.1","EN_NPi2020_800f","C3","Paris-compliant"
"64","TIAM-ECN 1.1","EN_NPi2020_900","C3","Paris-compliant"
"65","TIAM-ECN 1.1","EN_NPi2020_900f","C3","Paris-compliant"
"66","COFFEE 1.1","CO_2Deg2020","C4","Non-compliant"
"67","COFFEE 1.1","CO_2Deg2030","C4","Non-compliant"
"68","COFFEE 1.1","EN_INDCi2030_1000","C4","Non-compliant"
"69","COFFEE 1.1","EN_INDCi2030_1000_NDCp","C4","Non-compliant"
"70","COFFEE 1.1","EN_INDCi2030_1200","C4","Non-compliant"
"71","COFFEE 1.1","EN_INDCi2030_600f","C4","Non-compliant"
"72","COFFEE 1.1","EN_INDCi2030_700f","C4","Non-compliant"
"73","COFFEE 1.1","EN_INDCi2030_800f","C4","Non-compliant"
"74","COFFEE 1.1","EN_INDCi2030_900f","C4","Non-compliant"
"75","COFFEE 1.1","EN_NPi2020_1000","C4","Non-compliant"
"76","COFFEE 1.1","EN_NPi2020_1200","C4","Non-compliant"
"77","COFFEE 1.1","EN_NPi2020_600f","C4","Non-compliant"
"78","COFFEE 1.1","EN_NPi2020_700f","C4","Non-compliant"
"79","COFFEE 1.1","EN_NPi2020_800f","C4","Non-compliant"
"80","COFFEE 1.1","EN_NPi2020_900f","C4","Non-compliant"
"81","GCAM 5.2","NGFS1_Immediate 2C with CDR (Orderly, Rep)","C4","Non-compliant"
"82","GCAM 5.3","NGFS2_Delayed Transition","C4","Non-compliant"
"83","POLES ENGAGE","EN_INDCi2030_1000","C4","Non-compliant"
"84","POLES ENGAGE","EN_INDCi2030_1000_COV","C4","Non-compliant"
"85","POLES ENGAGE","EN_INDCi2030_1000_COV_NDCp","C4","Non-compliant"
"86","POLES ENGAGE","EN_INDCi2030_1000_NDCp","C4","Non-compliant"
"87","POLES ENGAGE","EN_INDCi2030_1000f","C4","Non-compliant"
"88","POLES ENGAGE","EN_INDCi2030_1000f_COV","C4","Non-compliant"
"89","POLES ENGAGE","EN_INDCi2030_1000f_COV_NDCp","C4","Non-compliant"
"90","POLES ENGAGE","EN_INDCi2030_1000f_NDCp","C4","Non-compliant"
"91","POLES ENGAGE","EN_INDCi2030_1200","C4","Non-compliant"
"92","POLES ENGAGE","EN_INDCi2030_1200f","C4","Non-compliant"
"93","POLES ENGAGE","EN_INDCi2030_800f","C4","Non-compliant"
"94","POLES ENGAGE","EN_INDCi2030_900f","C4","Non-compliant"
"95","POLES ENGAGE","EN_NPi2020_1000","C4","Non-compliant"
"96","POLES ENGAGE","EN_NPi2020_1000_COV","C4","Non-compliant"
"97","POLES ENGAGE","EN_NPi2020_1000f","C4","Non-compliant"
"98","POLES ENGAGE","EN_NPi2020_1000f_COV","C4","Non-compliant"
"99","POLES ENGAGE","EN_NPi2020_1200","C4","Non-compliant"
"100","POLES ENGAGE","EN_NPi2020_1200f","C4","Non-compliant"
"101","POLES ENGAGE","EN_NPi2020_800f","C4","Non-compliant"
"102","POLES ENGAGE","EN_NPi2020_900f","C4","Non-compliant"
"103","POLES GECO2019","CO_Bridge_notax","C4","Non-compliant"
"104","TIAM-ECN 1.1","EN_INDCi2030_1400","C4","Non-compliant"
"105","TIAM-ECN 1.1","EN_INDCi2030_1400f","C4","Non-compliant"
"106","TIAM-ECN 1.1","EN_INDCi2030_1600","C4","Non-compliant"
"107","TIAM-ECN 1.1","EN_NPi2020_1400","C4","Non-compliant"
"108","TIAM-ECN 1.1","EN_NPi2020_1400f","C4","Non-compliant"
"109","TIAM-ECN 1.1","EN_NPi2020_1600","C4","Non-compliant"
"110","COFFEE 1.1","CO_GPP","C5","Non-compliant"
"111","COFFEE 1.1","EN_INDCi2030_1000f","C5","Non-compliant"
"112","COFFEE 1.1","EN_INDCi2030_1200f","C5","Non-compliant"
"113","COFFEE 1.1","EN_INDCi2030_1400","C5","Non-compliant"
"114","COFFEE 1.1","EN_INDCi2030_1400f","C5","Non-compliant"
"115","COFFEE 1.1","EN_INDCi2030_1600","C5","Non-compliant"
"116","COFFEE 1.1","EN_INDCi2030_1600f","C5","Non-compliant"
"117","COFFEE 1.1","EN_INDCi2030_1800","C5","Non-compliant"
"118","COFFEE 1.1","EN_INDCi2030_1800f","C5","Non-compliant"
"119","COFFEE 1.1","EN_INDCi2030_2000","C5","Non-compliant"
"120","COFFEE 1.1","EN_INDCi2030_2000f","C5","Non-compliant"
"121","COFFEE 1.1","EN_NPi2020_1000f","C5","Non-compliant"
"122","COFFEE 1.1","EN_NPi2020_1200f","C5","Non-compliant"
"123","COFFEE 1.1","EN_NPi2020_1400","C5","Non-compliant"
"124","COFFEE 1.1","EN_NPi2020_1400f","C5","Non-compliant"
"125","COFFEE 1.1","EN_NPi2020_1600","C5","Non-compliant"
"126","COFFEE 1.1","EN_NPi2020_1600f","C5","Non-compliant"
"127","COFFEE 1.1","EN_NPi2020_1800","C5","Non-compliant"
"128","COFFEE 1.1","EN_NPi2020_1800f","C5","Non-compliant"
"129","COFFEE 1.1","EN_NPi2020_2000","C5","Non-compliant"
"130","COFFEE 1.1","EN_NPi2020_2000f","C5","Non-compliant"
"131","GCAM 5.3","NGFS2_Nationally Determined Contributions (NDCs)","C5","Non-compliant"
