"","variable","category2","2015","2020","2025","2030","2035","2040","2045","2050"
"1","Coal","Paris-compliant","40.2
 [30.2-46.3]","40.2
 [31.4-42.9]","38.4
 [29-40.2]","24.9
 [23-33.9]","7
 [2-29.9]","3
 [2-26]","2.6
 [2-15.9]","2.3
 [2-5.8]"
"2","Coal","Non-compliant","40.2
 [30.2-40.2]","40.2
 [31.4-40.2]","39.5
 [29.5-40.2]","24.9
 [23.1-29.7]","12.7
 [2-30.2]","7.2
 [2-26.9]","5.9
 [2-16.8]","5
 [2-10.2]"
"3","Gas","Paris-compliant","33.8
 [28.9-40.1]","37.7
 [33.8-43.5]","36.3
 [33.8-49.9]","40.2
 [33.7-45.4]","41.4
 [21.1-43.9]","30.6
 [16.3-49.8]","30
 [20.1-64.8]","29.4
 [11.1-79.4]"
"4","Gas","Non-compliant","33.8
 [28.9-33.8]","37.7
 [33.8-43.5]","38
 [33.8-50.1]","45.3
 [42.2-55.2]","48.2
 [45.8-55.9]","50.8
 [47.9-62.3]","60.2
 [49.5-70.9]","63.9
 [48.2-80.7]"
"5","Nuclear","Paris-compliant","20.6
 [19.2-21.7]","22.4
 [19.6-27.1]","22.4
 [18.2-27.1]","21.8
 [16.9-27.1]","18.8
 [15-27.1]","17.4
 [13.2-27.1]","16.6
 [13.1-32.9]","16.3
 [13.2-38.9]"
"6","Nuclear","Non-compliant","20.6
 [20.6-21.7]","22.4
 [22.4-27.1]","22.4
 [22.4-27.1]","21.8
 [21.8-27.1]","17.7
 [17.7-27.1]","13.8
 [13.8-27.1]","13.7
 [12.5-27.1]","14.2
 [10.2-27.1]"
"7","Solar","Paris-compliant","3.1
 [1-3.6]","8.9
 [1-14.1]","20.7
 [9.9-48.9]","39.1
 [10.5-96.7]","80.3
 [11.3-152.5]","117.2
 [12-208.3]","143.6
 [13.5-200.8]","172.5
 [16-191.3]"
"8","Solar","Non-compliant","3.1
 [3.1-3.6]","8.9
 [8.9-14.1]","19.8
 [8.9-20.5]","29.4
 [8.9-35.9]","52.5
 [9.4-75]","77.8
 [10.2-114.2]","106.1
 [11.7-138.7]","137.5
 [14.2-172.3]"
"9","Wind","Paris-compliant","1.3
 [0.8-2.1]","2.9
 [2.1-5.2]","6.8
 [2.9-11.3]","17.9
 [2.8-25.6]","41.3
 [4.3-48.9]","61.6
 [7.1-68.2]","78.7
 [67.3-88.7]","93.7
 [87.2-110]"
"10","Wind","Non-compliant","1.3
 [0.8-1.3]","2.9
 [2.9-5.2]","2.9
 [2.9-10.6]","2.9
 [2.9-19.1]","18.9
 [2.9-30.7]","31.8
 [2.9-50.6]","46.4
 [2.9-69.6]","61.7
 [18.8-86.4]"
